χαλκός	copper	43	0.85	3	0.79	2	0.47
ἐάω	to let	43	0.85	0	0	2	0.47
Ἀχιλλεύς	Achilles	42	0.83	3	0.79	1	0.23
θυγάτηρ	a daughter	42	0.83	5	1.32	3	0.71
θάλασσα	the sea	42	0.83	1	0.26	2	0.47
ἵημι	to set a going	42	0.83	0	0	4	0.94
προσεῖπον	NoDef	42	0.83	4	1.06	5	1.18
ἅλς	a lump of salt	42	0.83	1	0.26	4	0.94
ἐλαύνω	to drive	42	0.83	2	0.53	0	0.94
ἵνα	in order that (conj.); where (rel. adv.)	42	0.83	0	0	5	1.18
φωνέω	to produce a sound	41	0.81	4	1.06	8	1.89
μακρός	long	41	0.81	2	0.53	3	0.71
ἄρχω	(to be first) to rule	41	0.81	0	0	3	0.71
μῆλον	a sheep	41	0.81	0	0	1	0.23
εὔχομαι	to pray	40	0.79	6	1.59	0	0.23
δεινός	fearful	40	0.79	4	1.06	2	0.47
ἄλοχος	a bedfellow	40	0.79	13	3.45	2	0.47
βασιλεύς	a king	39	0.77	1	0.26	5	1.18
ὦμος	shoulder (with the upper arm)	39	0.77	2	0.53	3	0.71
εὐρύς	wide	39	0.77	4	1.06	1	0.23
ἐσθλός	good	39	0.77	3	0.79	4	0.94
οἶνος	wine	39	0.77	4	1.06	2	0.47
Ἥρα	Hera	38	0.75	0	0	1	0.23
Ἴλιος	Ilian	38	0.75	11	2.92	2	0.47
κεῖμαι	to lie; to have been set/put (as perf. pass. of τίθημι)	38	0.75	2	0.53	3	0.71
οἷος	(such a kind) as; for οἷός τε see οἷος III.2	38	0.75	2	0.53	4	0.94
τεῦχος	a tool	38	0.75	8	2.12	0	0.94
Φαίαξ	a Phaeacian	38	0.75	0	0	25	5.93
ἔοικα	to be like; to look like	37	0.73	0	0	4	0.94
καλέω	to call	37	0.73	2	0.53	2	0.47
ὅτι	adv. + superl.	37	0.73	4	1.06	8	1.89
ὀξύς	wood sorrel	37	0.73	1	0.26	0	1.89
μηδέ	but not	37	0.73	3	0.79	3	0.71
λαμβάνω	to take	37	0.73	4	1.06	1	0.23
λύω	to loose	36	0.71	0	0	4	0.94
χρύσεος	golden	36	0.71	3	0.79	3	0.71
ἀμύμων	blameless	36	0.71	6	1.59	6	1.42
πω	up to this time	36	0.71	0	0	1	0.23
πού	NoDef	36	0.71	2	0.53	6	1.42
πτερόεις	feathered	36	0.71	0	0	4	0.94
πόντος	the sea	36	0.71	1	0.26	2	0.47
ἄνεμος	wind	36	0.71	2	0.53	0	0.47
αὖ	again	36	0.71	4	1.06	3	0.71
γέρων	an old man (in apposition as adj.	35	0.69	1	0.26	1	0.23
ἀχεύω	grieving	35	0.69	2	0.53	2	0.47
μέσος	middle	35	0.69	3	0.79	4	0.94
Διομήδης	Diomedes (Zeus-counselled)	35	0.69	5	1.32	0	0.94
Δαναοί	the Danaans	34	0.67	1	0.26	2	0.47
ἤδη	already	34	0.67	2	0.53	6	1.42
κῆρυξ	a herald	34	0.67	0	0	13	3.08
ὀτρύνω	to stir up	34	0.67	2	0.53	3	0.71
πατρίς	fatherland	34	0.67	0	0	2	0.47
ὕδωρ	water	34	0.67	1	0.26	3	0.71
πίνω	to drink	34	0.67	1	0.26	1	0.23
νυν	NoDef	33	0.65	2	0.53	0	0.23
φεύγω	to flee	33	0.65	4	1.06	1	0.23
δαμάζω	to overpower	33	0.65	3	0.79	1	0.23
ἕνεκα	on account of	33	0.65	4	1.06	3	0.71
αἷμα	blood	33	0.65	2	0.53	1	0.23
τόσος	so great	32	0.63	2	0.53	2	0.47
ὄλλυμι	to destroy	32	0.63	1	0.26	0	0.47
ὀφθαλμός	the eye	32	0.63	0	0	2	0.47
ἀγαθός	good	31	0.61	6	1.59	3	0.71
νοέω	to perceive by the eyes	31	0.61	2	0.53	3	0.71
κτείνω	to kill	31	0.61	6	1.59	1	0.23
κῦμα	anything swollen	31	0.61	3	0.79	2	0.47
βουλή	will	30	0.59	0	0	2	0.47
αὖθις	back	30	0.59	2	0.53	1	0.23
οἶκος	a house	30	0.59	6	1.59	0	0.23
δείδω	to fear	30	0.59	2	0.53	1	0.23
Ὄλυμπος	Olympus	30	0.59	0	0	1	0.23
κρείων	a ruler	30	0.59	1	0.26	2	0.47
πῦρ	fire	30	0.59	2	0.53	5	1.18
ἀγορεύω	to speak in the assembly	30	0.59	0	0	5	1.18
πίπτω	to fall	30	0.59	3	0.79	1	0.23
κεφαλή	the head	30	0.59	0	0	4	0.94
πρότερος	before	30	0.59	4	1.06	2	0.47
ἐκεῖνος	that over there	30	0.59	1	0.26	0	0.47
ἄστυ	a city	30	0.59	9	2.39	5	1.18
δόμος	a house; a course of stone	30	0.59	5	1.32	4	0.94
ἕζομαι	to seat oneself	29	0.57	1	0.26	1	0.23
οἴομαι	to suppose	29	0.57	2	0.53	2	0.47
ἐρῶ	[I will say]	29	0.57	2	0.53	0	0.47
μάχη	battle	29	0.57	4	1.06	0	0.47
ἱκάνω	to come	29	0.57	6	1.59	2	0.47
ἠώς	the morning red	29	0.57	1	0.26	1	0.23
πάσχω	to experience	29	0.57	0	0	4	0.94
Ἀλέξανδρος	Alexander	29	0.57	5	1.32	0	0.94
δάκρυον	a tear	28	0.55	3	0.79	6	1.42
ὠκύς	quick	28	0.55	0	0	2	0.47
ἀπαμείβομαι	to reply	28	0.55	1	0.26	6	1.42
οὕτως	so	28	0.55	1	0.26	4	0.94
γιγνώσκω	to learn to know	28	0.55	2	0.53	1	0.23
τῷ	therefore	28	0.55	2	0.53	4	0.94
ἥρως	hero	27	0.53	4	1.06	2	0.47
θνῄσκω	to die; see also ἀποθνῄσκω	27	0.53	3	0.79	2	0.47
ἤτοι	now surely	27	0.53	3	0.79	0	0.47
χθών	the earth	27	0.53	3	0.79	3	0.71
ἱερός	super-human	27	0.53	2	0.53	3	0.71
ὧδε	in this wise	27	0.53	4	1.06	1	0.23
αὐτοῦ	at the very place	27	0.53	4	1.06	0	0.23
πέτρα	a rock	27	0.53	0	0	1	0.23
νέμω	to deal out	27	0.53	1	0.26	1	0.23
ποταμός	a river	27	0.53	1	0.26	0	0.23
Αἰνείας	Aeneas	27	0.53	2	0.53	0	0.23
ἄλγος	pain	26	0.51	2	0.53	1	0.23
κλύω	to hear	26	0.51	0	0	4	0.94
τόξον	a bow	26	0.51	1	0.26	3	0.71
κόρη	a maiden	26	0.51	3	0.79	2	0.47
ὄρος	a mountain	26	0.51	1	0.26	1	0.23
τλάω	to take upon oneself	26	0.51	0	0	1	0.23
τοῖος	quality	26	0.51	1	0.26	0	0.23
πέλω	to be	26	0.51	2	0.53	6	1.42
αἰνός	dread	26	0.51	3	0.79	1	0.23
Ἑλένη	Helen	26	0.51	4	1.06	0	0.23
φώς	a man	26	0.51	1	0.26	3	0.71
δύω	dunk	26	0.51	5	1.32	1	0.23
Τυδεύς	Tydeus	26	0.51	5	1.32	0	0.23
ἀμφότερος	each of two	26	0.51	1	0.26	0	0.23
τελέω	to complete	25	0.49	0	0	1	0.23
κίω	to go	25	0.49	2	0.53	3	0.71
ἀγορά	an assembly of the people	25	0.49	0	0	5	1.18
ὁράω	to see	25	0.49	1	0.26	3	0.71
οὔτε	neither / nor	25	0.49	1	0.26	2	0.47
Αἴας	Ajax	25	0.49	2	0.53	0	0.47
ἄνωγα	to command	25	0.49	4	1.06	2	0.47
οὐρανός	heaven	25	0.49	2	0.53	1	0.23
εὑρίσκω	to find	25	0.49	2	0.53	0	0.23
καλύπτω	to cover with	25	0.49	2	0.53	4	0.94
